team_id,player_p,name_p,player_q,name_q,minutes_together,jdi,jdi90
379,6655,Nicolas N'Koulou,8018,Andre Onana,96.31666666666666,0.020447562746116366,0.019106564947054573
58,1452,Nestor Araujo,3452,Kevin Álvarez,65.36666666666666,0.013864596826271969,0.019089449990277573
381,6596,Jeremy Sarmiento,13935,Hernan Galindez,94.81666666666666,0.020095903846744527,0.019075036170226833
372,214,Nampalys Mendy,7988,Boulaye Dia,236.9,0.05020148991076469,0.01907190414507734
370,5029,Silvan Widmer,8113,Noah Okafor,30.166666666666664,0.00639178705516359,0.019069419943581984
362,22,Kevin De Bruyne,4498,Amadou Onana,103.4,0.021908074867127487,0.019068923965584853
382,14004,Abdulelah Al-Malki,14005,Sami Al-Najei,55.733333333333334,0.011807281116018678,0.01906678170648949
381,9837,Jackson Porozo,13049,Gonzalo Plata,101.93333333333334,0.021587694539676905,0.019060423563481897
372,214,Nampalys Mendy,4152,Pape Sarr,45.28333333333333,0.009588040302905623,0.019056097768012648
360,13953,Karim Boudiaf,13964,Ahmed Alaaeldin,11.383333333333333,0.0024095819119631153,0.019050867239532684
366,37,Virgil van Dijk,11094,Cody Gakpo,437.59999999999997,0.09259293673575605,0.019043337080022954
374,1938,Hakim Ziyech,13864,Yahia Attiat-Allah,297.15,0.06285503174311488,0.019037364485547166
376,12514,Piotr Zielinski,13850,Grzegorz Krychowiak,302.73333333333335,0.06403344388861239,0.019036588691835877
371,4883,Andrej Kramaric,8129,Marcelo Brozovic,394.98333333333335,0.08354175411641825,0.019035633243118213
365,6020,Cristiano Ronaldo,8564,Pepe,215.4,0.04554879774447064,0.019031531091004444
366,84,Steven Bergwijn,1522,Frenkie de Jong,228.71666666666667,0.048347641130060105,0.019024795023123556
372,3978,Pape Gueye,8584,Fode Ballo-Toure,10.166666666666666,0.0021415540882274184,0.01895801979742305
371,40,Dejan Lovren,100,Mateo Kovacic,530.8333333333334,0.11173504000621605,0.018944088415496597
371,13857,Borna Barisic,13861,Bruno Petkovic,61.333333333333336,0.01291003256468489,0.018944069524265868
58,3299,César Montes,3301,Héctor Moreno,291.35,0.06131929784004043,0.018941948877994295
377,13912,Jin-su Kim,13922,Woo-young Jung,323.8,0.06811464399389566,0.018932421122454014
