team_id,team_name,team_color,flag_code,player_p,name_p,pos_p,role_p,player_q,name_q,pos_q,role_q,minutes_together,n_interactions,joi,joi90,jdi,jdi90,goals_together,assists_together,assists_pq,assists_qp
364,Argentina,#6633cc,ar,1531,Lionel Messi,CF,FWD,1877,Guido Rodríguez,DM,MID,56.766666666666666,8.0,0.011070750839333088,0.017551983127539247,0.06780267295884256,0.10749689782083083,0,0,0,0
367,Denmark,#ff0033,dk,2073,Joachim Andersen,RCB,DEF,8099,Rasmus Kristensen,RWB,MID,236.54999999999998,70.0,0.04608886386249178,0.017535395255228327,0.05543439621939529,0.02109108289894558,0,0,0,0
51,United States,#0066cc,us,107,Christian Pulisic,LW,MID,1973,Antonee Robinson,LB,DEF,338.51666666666665,55.0,0.06582117408428735,0.017499598249970542,0.10474724023599717,0.02784870746267465,1,0,0,0
370,Switzerland,#ffffff,ch,4566,Rubén Vargas,LW,MID,4717,Breel Embolo,CF,FWD,278.1,5.0,0.05394249297772295,0.017457117468518753,-0.03535791071168109,-0.011442689550705853,2,0,0,0
380,Canada,#000000,ca,1025,Kamal Miller,LCB,DEF,8551,Stephen Eustaquio,CM,MID,131.15,18.0,0.025421700458357573,0.017445314839894636,-0.04334669307936524,-0.029746110386144654,0,0,0,0
382,Saudi Arabia,#006600,sa,13994,Saud Abdulhamid,RB,DEF,14004,Abdulelah Al-Malki,DM,MID,188.76666666666665,11.0,0.036585648998439704,0.01744327252265358,0.0670315383756645,0.03195923602583333,0,0,0,0
377,South Korea,#ff0000,kr,2443,Moon-hwan Kim,RB,DEF,5038,Jae-sung Lee,AM,FWD,212.51666666666665,18.0,0.04116915100040187,0.01743497885673046,-0.010621984287112548,-0.0044983699435658196,0,0,0,0
57,Japan,#3399ff,jp,1860,Takefusa Kubo,RW,MID,2095,Daichi Kamada,LW,MID,98.75,2.0,0.01911341775288758,0.017419823774783617,0.011126547619486988,0.010140650994975483,0,0,0,0
368,Germany,#ffffff,de,4618,Leon Goretzka,CM,MID,4868,David Raum,LB,DEF,164.75,7.0,0.03188230513114231,0.017416737249182447,-0.07654669917571928,-0.04181610273635651,0,0,0,0
378,Tunisia,#ffffff,tn,4105,Wahbi Khazri,CF,FWD,12862,Wajdi Kechrida,RM,MID,82.31666666666666,2.0,0.015927162319914406,0.017413783463765497,0.021212914174678566,0.02319290069715818,0,0,0,0
385,Costa Rica,#ff0000,cr,3316,Joel Campbell,CF,FWD,13782,Anthony Contreras,CF,FWD,132.85,3.0,0.025696673538698797,0.017408359943416572,-0.05450893870153656,-0.0369273954319781,0,0,0,0
58,Mexico,#006600,mx,2110,Roberto Alvarado,RW,MID,3301,Héctor Moreno,LCB,DEF,24.233333333333334,4.0,0.0046870504996012995,0.017407202680775113,-0.00314938049145321,-0.01169646124748785,0,0,0,0
58,Mexico,#006600,mx,3303,Jesús Gallardo,LB,DEF,3387,Orbelín Pineda,CM,MID,76.28333333333333,6.0,0.014747131632383928,0.01739884439914206,-0.00804292618715638,-0.00948914166717161,0,0,0,0
378,Tunisia,#ffffff,tn,4105,Wahbi Khazri,CF,FWD,9824,Montassar Talbi,LCB,DEF,88.53333333333333,1.0,0.017104579560883352,0.017387938559632925,0.020229513775074225,0.0205646412623119,0,0,0,0
52,Spain,#cc0000,es,96,César Azpilicueta,RB,DEF,1383,Koke,CM,MID,34.63333333333333,14.0,0.0066855969837259915,0.01737354365357091,-0.054742135992306144,-0.14225579131783117,0,0,0,0
374,Morocco,#ffffff,ma,4002,Nayef Aguerd,RCB,DEF,4324,Azzedine Ounahi,CM,MID,318.8833333333333,20.0,0.06148014167464249,0.017351840539542644,0.21423697251914336,0.060465146689143066,0,0,0,0
362,Belgium,#ff0000,be,4669,Thomas Meunier,RB,DEF,11994,Dries Mertens,CF,FWD,70.5,2.0,0.013548071892317168,0.01729541092636234,0.00892967943084586,0.01139959076278195,0,0,0,0
362,Belgium,#ff0000,be,66,Toby Alderweireld,RCB,DEF,1960,Timothy Castagne,LB,DEF,284.2833333333333,25.0,0.054592221947594874,0.017283109486838973,0.07743629298309809,0.024515212646346353,0,0,0,0
50,England,#ffffff,gb-eng,25,Raheem Sterling,LW,MID,105,Mason Mount,AM,FWD,159.5,7.0,0.03055483414253354,0.01724097224343585,-0.021287937348194567,-0.01201200226543894,1,0,0,0
52,Spain,#cc0000,es,1829,Carlos Soler,CM,MID,4908,Dani Olmo,LW,MID,68.95,8.0,0.013187888735069805,0.01721406796455812,-0.03841139858347853,-0.050138156236592714,0,0,0,0
375,Serbia,#ffffff,rs,1799,Nemanja Gudelj,DM,MID,12653,Vanja Milinković-Savić,GK,GK,102.45,4.0,0.019575496693483338,0.017196629598960473,-0.043877676434547,-0.038545542987889016,0,0,0,0
375,Serbia,#ffffff,rs,1550,Nemanja Maksimovic,DM,MID,9947,Milos Veljkovic,MCB,DEF,91.9,6.0,0.017514472832166082,0.017152367300271462,-0.23098736011675322,-0.22621177813392587,0,0,0,0
366,Netherlands,#ff9933,nl,8326,Teun Koopmeiners,DM,MID,11241,Andries Noppert,GK,GK,202.06666666666666,7.0,0.038499949087424504,0.017147783328282113,-0.0930319899962621,-0.0414362212124559,1,0,0,0
385,Costa Rica,#ff0000,cr,754,Kendall Waston,MCB,DEF,13779,Juan Pablo Vargas,LCB,DEF,100.03333333333333,1.0,0.018989592161149267,0.01708493796571244,-0.03902652895316595,-0.03511217200051585,0,0,0,0
379,Cameroon,#006633,cm,1168,Nouhou Tolo,LB,DEF,8018,Andre Onana,GK,GK,96.31666666666666,4.0,0.01824313117856885,0.017046705029290846,0.014687230907978853,0.013724008808286175,0,0,0,0
374,Morocco,#ffffff,ma,13044,Jawad El Yamiq,RCB,DEF,13865,Badr Benoun,RCB,DEF,36.93333333333334,1.0,0.006988933518817046,0.01703079467581771,0.013297113416815824,0.03240271319982195,0,0,0,0
375,Serbia,#ffffff,rs,12561,Sergej Milinković-Savić,LW,MID,13904,Filip Mladenovic,LM,MID,65.28333333333333,5.0,0.012349243738859438,0.01702474245336762,0.0017228513334306334,0.002375133316447644,0,0,0,0
374,Morocco,#ffffff,ma,13044,Jawad El Yamiq,RCB,DEF,13866,Selim Amallah,CM,MID,139.0,8.0,0.02624669181733954,0.016994260888924882,0.024487228493534123,0.015855040031784683,0,0,0,0
57,Japan,#3399ff,jp,2087,Takehiro Tomiyasu,RB,DEF,13797,Shogo Taniguchi,LCB,DEF,118.61666666666667,4.0,0.022369325500284403,0.016972651075106895,0.0006043489192389326,0.0004585477257117094,0,0,0,0
375,Serbia,#ffffff,rs,8037,Dusan Tadić,RW,MID,12576,Nikola Milenkovic,RCB,DEF,270.91666666666663,16.0,0.05106345672513132,0.016963559908687125,-0.21555913624864304,-0.07160992529945694,0,0,0,0
58,Mexico,#006600,mx,2106,Edson Alvarez,CM,MID,2111,Hirving Lozano,RW,MID,183.01666666666665,5.0,0.03445064939838989,0.016941399394527403,0.045777009653483886,0.02251123323274866,0,0,0,0
366,Netherlands,#ff9933,nl,1812,Luuk de Jong,CF,FWD,5009,Wout Weghorst,CF,FWD,12.066666666666666,1.0,0.0022700246312666143,0.016931122940386352,-0.004717540716208229,-0.035186077165089,0,0,0,0
382,Saudi Arabia,#006600,sa,13995,Abdulelah Al-Amri,RCB,DEF,13998,Salem Al-Dawsari,LM,MID,210.51666666666665,7.0,0.039593482117533566,0.01692698942559427,0.035691669717242094,0.01525888816982878,0,0,0,0
51,United States,#0066cc,us,1336,Timothy Weah,RW,MID,12183,Haji Wright,CF,FWD,100.66666666666667,3.0,0.01890025161811352,0.01689757594996904,0.04603627603023991,0.041158260027035674,0,0,0,0
360,Qatar,#ffffcc,qa,13947,Ismaeel Mohammed,RWB,MID,13956,Assim Madibo,CM,MID,159.73333333333335,6.0,0.029908158650913057,0.016851424949387572,0.014660280271788787,0.008260174610565467,0,0,0,0
375,Serbia,#ffffff,rs,3989,Nemanja Radonjic,LW,MID,12576,Nikola Milenkovic,RCB,DEF,81.58333333333333,2.0,0.01527025455939145,0.01684563322180058,-0.04063058358106795,-0.044822298536826746,0,0,0,0
367,Denmark,#ff0033,dk,4053,Kasper Dolberg,CF,FWD,4737,Jesper Lindström,AM,FWD,49.3,1.0,0.009219702396153806,0.016831099709002893,-0.02573612623034982,-0.046982786221733956,0,0,0,0
372,Senegal,#ffffff,sn,2144,Iliman Ndiaye,AM,FWD,13228,Youssouf Sabaly,RB,DEF,144.95,17.0,0.027063699090662433,0.01680395252266036,-0.03895805823692321,-0.024189204838379365,0,0,0,0
364,Argentina,#6633cc,ar,1531,Lionel Messi,CF,FWD,5116,Cristian Romero,RCB,DEF,542.6,27.0,0.1011031314556253,0.016769778531157898,-0.12679662244928855,-0.021031507593873882,0,0,0,0
365,Portugal,#ffffff,pt,1876,William Carvalho,DM,MID,4666,Raphaël Guerreiro,LB,DEF,179.0,10.0,0.03335211992287686,0.016769222307591716,-0.1261083401722797,-0.06340642801958198,1,0,0,0
382,Saudi Arabia,#006600,sa,14006,Ali Al-Hassan,DM,MID,14010,Firas Al-Buraikan,RM,MID,52.266666666666666,2.0,0.009734630544707967,0.01676243780019867,0.022488471069662317,0.03872377033679098,0,0,0,0
369,Uruguay,#99ffff,uy,8071,Sebastian Coates,LCB,DEF,13924,Sergio Rochet,GK,GK,199.83333333333334,7.0,0.037162101771359986,0.016736893208118758,0.12699994842992796,0.05719764149471317,0,0,0,0
379,Cameroon,#006633,cm,1977,André Zambo Anguissa,CM,MID,4174,Jean-Charles Castelletto,RCB,DEF,176.63333333333333,10.0,0.0327794592306742,0.016702121140369945,-0.08752755052090536,-0.04459792157132374,0,0,0,0
364,Argentina,#6633cc,ar,144,Emiliano Martínez,GK,GK,3868,Ángel Di María,RW,MID,294.3833333333333,2.0,0.054483802313742474,0.016656996687664006,-0.005783622981561879,-0.001768191366157173,0,0,0,0
362,Belgium,#ff0000,be,1672,Thibaut Courtois,GK,GK,4669,Thomas Meunier,RB,DEF,210.96666666666667,7.0,0.03903106280136758,0.01665095110818336,0.0399630128137688,0.017048528139860287,0,0,0,0
374,Morocco,#ffffff,ma,4324,Azzedine Ounahi,CM,MID,6925,Ilias Chair,AM,FWD,41.1,2.0,0.007590503513232202,0.01662154053992453,-0.015734238965875953,-0.03445453788148019,0,0,0,0
370,Switzerland,#ffffff,ch,4661,Manuel Akanji,RCB,DEF,8416,Michel Aebischer,CM,MID,20.833333333333332,2.0,0.003838269558898234,0.016581324494440372,-0.009152337639839761,-0.03953809860410777,0,0,0,0
362,Belgium,#ff0000,be,22,Kevin De Bruyne,RW,MID,4674,Axel Witsel,CM,MID,284.2833333333333,21.0,0.05234481415234317,0.016571612617849164,0.05646072028229378,0.017874649089780526,0,0,0,0
366,Netherlands,#ff9933,nl,1522,Frenkie de Jong,CM,MID,8327,Marten De Roon,CM,MID,204.68333333333334,34.0,0.037684590363848275,0.016570050318767255,0.08140528322197961,0.03579419667768829,0,0,0,0
360,Qatar,#ffffcc,qa,13944,Abdelkarim Hassan,LCB,DEF,13961,Akram Afif,CF,FWD,287.4,30.0,0.05290852537135796,0.016568431744684125,0.03744939387410155,0.01172736760149318,0,0,0,0
365,Portugal,#ffffff,pt,17,João Cancelo,RB,DEF,1876,William Carvalho,DM,MID,142.28333333333333,22.0,0.026178025948304408,0.016558666993187747,0.0011729186104297135,0.0007419187649432415,0,0,0,0
386,Australia,#003333,au,13811,Nathaniel Atkinson,RB,DEF,13820,Aziz Behich,LB,DEF,84.4,3.0,0.015515735445668066,0.016545215522631822,-0.06158575031639188,-0.06567200863122356,0,0,0,0
372,Senegal,#ffffff,sn,3848,Abdou Diallo,LCB,DEF,3978,Pape Gueye,DM,MID,142.18333333333334,6.0,0.026098419660450334,0.01651992335792191,0.008539464526375464,0.005405357923154086,0,0,0,0
384,Wales,#ff0000,gb-wls,137,Daniel James,CF,FWD,6935,Joe Allen,CM,MID,101.51666666666667,3.0,0.018620395179307053,0.016507984562183234,-0.03166618972398013,-0.02807378501222996,0,0,0,0
386,Australia,#003333,au,13815,Mathew Leckie,RM,MID,13819,Mitchell Duke,CF,FWD,272.29999999999995,19.0,0.049866056153185165,0.0164816197348023,0.012625818795482888,0.004173057993365627,0,0,0,0
373,Iran,#ffffff,ir,13971,Ehsan Hajsafi,LM,MID,13977,Morteza Pouraliganji,LCB,DEF,250.56666666666666,16.0,0.04584049508790895,0.01646525698248692,-0.09855400379156945,-0.03539920317111049,0,0,0,0
363,France,#003366,fr,3878,Axel Disasi,RCB,DEF,4606,Dayot Upamecano,LCB,DEF,7.933333333333334,1.0,0.0014502113031526981,0.01645197696853901,-0.008483200557271347,-0.09623798951526318,0,0,0,0
