team_id,player_p,name_p,player_q,name_q,minutes_together,n_interactions,joi,joi90,p_initiates_frac
374,233,Romain Saïss,9820,Achraf Dari,20.516666666666666,4,-0.003111059992174909,-0.013647216862505694,0.5
362,1694,Eden Hazard,4498,Amadou Onana,70.06666666666666,5,-0.010687035143150855,-0.013727400041154761,0.8
366,84,Steven Bergwijn,1522,Frenkie de Jong,228.71666666666667,20,-0.03489082351434634,-0.013729537781641786,0.6
366,84,Steven Bergwijn,8327,Marten De Roon,51.56666666666667,2,-0.007902999848943942,-0.013793212406043079,0.0
52,4908,Dani Olmo,13178,Nico Williams,130.91666666666669,1,-0.020133721742502428,-0.013841132706494346,0.0
361,30,Gabriel Jesus,8039,Antony,104.48333333333333,9,-0.016088173772622144,-0.013858053656429985,0.6666666666666666
51,802,Jesús Ferreira,1334,Weston McKennie,47.166666666666664,4,-0.007269707326784732,-0.013871526347928464,0.75
368,4779,Nico Schlotterbeck,9963,Niclas Fullkrug,29.233333333333334,1,-0.004508477427281506,-0.013880147153546253,1.0
385,1593,Óscar Duarte,13787,Youstin Salas,60.55,1,-0.009395915172858114,-0.013965852445206116,1.0
364,1531,Lionel Messi,8023,Lisandro Martinez,314.01666666666665,9,-0.04881623980382861,-0.013991173236063614,0.6666666666666666
372,13032,Pathe Ciss,13228,Youssouf Sabaly,155.05,8,-0.024142238819579782,-0.014013553652126282,0.75
58,3387,Orbelín Pineda,3455,Luis Chávez,76.28333333333333,8,-0.011953049270890878,-0.01410235220948454,0.5
365,8564,Pepe,8593,Rafael Leao,100.73333333333333,1,-0.0157951023303426,-0.014112103339485444,0.0
58,3299,César Montes,11090,Erick Gutierrez,55.28333333333333,10,-0.00867075464326826,-0.014115789892568167,0.7
377,83,Heung-min Son,13910,Kyung-won Kwon,106.2,1,-0.01666384767984211,-0.014121904813425516,1.0
361,3930,Lucas Paquetá,8050,Alex Sandro,121.6,18,-0.01914925356835805,-0.014172967279212374,0.3888888888888889
365,240,Rúben Neves,8079,Matheus Nunes,64.4,6,-0.01015649392199805,-0.014193857965525223,0.5
367,200,Kasper Schmeichel,5063,Mathias Jensen,91.7,5,-0.014486820956921932,-0.014218253938091317,0.6
360,13947,Ismaeel Mohammed,13960,Hasan Al-Haydos,137.21666666666667,12,-0.021688263888651964,-0.014225267217140848,0.4166666666666667
52,18,Rodri,1950,Ferran Torres,225.83333333333331,16,-0.035855294438304174,-0.014289194831501295,0.6875
